Participant,Stimulus,Trial,Time,Gaze_x,Gaze_y,Type,Target_TopLeft_x,Target_TopLeft_y,Target_BottomRight_x,Target_BottomRight_y
93wyqfq2c2,NF-1046,52.0,0.132,743,531,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,0.187,724,417,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,0.239,711,314,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,0.293,734,360,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,0.347,725,327,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,0.402,742,410,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,0.454,740,468,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,0.507,728,572,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,0.561,694,669,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,0.614,653,726,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,0.668,613,804,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,0.721,595,849,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,0.774,670,916,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,0.828,696,948,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,0.882,735,984,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,0.935,709,997,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,0.996,692,1019,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,1.057,669,1017,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,1.12,657,1032,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,1.177,640,1038,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,1.231,652,1040,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,1.284,654,1021,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,1.338,619,975,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,1.395,613,908,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,1.458,659,908,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,1.553,702,919,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,1.614,758,924,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,1.668,814,943,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,1.735,844,948,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,1.79,858,948,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,1.854,864,941,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1046,52.0,1.908,856,942,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1040,53.0,0.005,834,864,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1040,53.0,0.046,790,844,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1040,53.0,0.106,777,822,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1040,53.0,0.163,777,820,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1040,53.0,0.218,799,840,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1040,53.0,0.271,792,817,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1040,53.0,0.324,794,830,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1040,53.0,0.378,787,850,Fixation Cross,720,477.5,720,477.5
