Participant,Experiment_Duration,Date_OSF,Date,Time,Browser,Mobile,Platform,Screen_Width,Screen_Height,Source,Gender,Age,Education,Discipline,Student,Ethnicity,Country,SexualOrientation,SexualStatus,Hexaco_Duration,HEXACO18_HonestyHumility_Sincerity_1_NR,HEXACO18_HonestyHumility_GreedAvoidance_2_R,HEXACO18_HonestyHumility_Modesty_3_R,HEXACO18_Emotionality_Fearfulness_4_R,HEXACO18_Emotionality_Dependence_5_NR,HEXACO18_Emotionality_Anxiety_6_NR,HEXACO18_Extraversion_SocialSelfEsteem_7_R,HEXACO18_Extraversion_SocialBoldness_8_R,HEXACO18_Extraversion_Liveliness_9_R,HEXACO18_Agreeableness_Forgiveness_10_NR,HEXACO18_Agreeableness_Gentleness_11_NR,HEXACO18_Agreeableness_Patience_12_R,HEXACO18_Conscientiousnes_Diligence_13_R,HEXACO18_Conscientiousnes_Prudence_14_R,HEXACO18_Conscientiousnes_Organization_15_R,HEXACO18_Openness_Unconventionality_16_R,HEXACO18_Openness_AestheticAppreciation_17_NR,HEXACO18_Openness_Creativity_18_NR,Bait_Duration,BAIT_AI_Knowledge,BAIT_6_EnvironmentReal,BAIT_12_PositiveAttitutes,BAIT_5_ImitatingReality,BAIT_9_NegativeAttitutes,BAIT_4_VideosIssues,BAIT_3_VideosRealistic,BAIT_7_TextRealistic,BAIT_8_TextIssues,BAIT_2_ImagesIssues,BAIT_1_ImagesRealistic,BAIT_10_NegativeAttitutes,BAIT_11_PositiveAttitutes,Instruction_Duration1,Instruction_Duration2,Eyetracking_Validation1_Mean,Eyetracking_Validation1_Max,Eyetracking_Validation1_Min,Eyetracking_Validation1_Distance,Eyetracking_Validation2_Mean,Eyetracking_Validation2_Max,Eyetracking_Validation2_Min,Eyetracking_Validation2_Distance,Ethnicity-Comment,Discipline-Comment
S021,37.64888333333333,2024-08-07 15:50:49.993872+00:00,07/08/2024,16:13:03,ios,True,iOS,980.0,1665.0,sof1,Female,27,Master,"Psychology, Neuroscience",True,Southeast Asian,Malaysia,Heterosexual,Single and open to dating,0.9415666666666667,6.0,2.0,3.0,1.0,4.0,6.0,5.0,6.0,6.0,2.0,3.0,3.0,5.0,5.0,4.0,2.0,6.0,6.0,0.96485,2.0,4.0,4.0,5.0,5.0,2.0,6.0,3.0,5.0,5.0,2.0,5.0,4.0,81.071,47.374,,,,,,,,,,
S022,66.18008333333333,2024-08-07 16:07:40.916918+00:00,07/08/2024,17:01:21,chrome,False,Windows 10,1366.0,599.0,sof1,Female,60,Bachelor,"Biology, Chemistry, Physics",False,White,Spain,Heterosexual,In a relationship and not open to dating,7.756083333333334,6.0,2.0,3.0,1.0,6.0,3.0,0.0,1.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,4.0,5.0,1.0,5.1735999999999995,2.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,3.0,3.0,6.0,3.0,179.735,114.375,3.542372881355932,25.423728813559322,0.0,83.9722489534633,5.344827586206895,33.33333333333333,0.0,123.14360482450813,,
S023,51.278299999999994,2024-08-07 16:23:44.808630+00:00,07/08/2024,17:32:20,ios,True,iOS,980.0,1685.0,sof1,Female,15,High school,,True,White,Spain,Heterosexual,In a relationship and not open to dating,4.8338,0.0,4.0,3.0,5.0,6.0,6.0,2.0,2.0,2.0,5.0,4.0,2.0,0.0,4.0,2.0,0.0,6.0,6.0,3.0109166666666667,3.0,4.0,4.0,4.0,6.0,5.0,5.0,4.0,3.0,3.0,6.0,6.0,3.0,90.04,66.115,0.0,0.0,0.0,275.4411232114088,0.0,0.0,0.0,5630.228020775647,,
S024,43.133,2024-08-07 17:18:18.193529+00:00,07/08/2024,18:35:03,chrome,True,Android OS,979.0,1815.0,sof1,Female,56,Master,"Business, Economics",False,White,Spain,Heterosexual,In a relationship and not open to dating,2.44565,2.0,2.0,3.0,4.0,5.0,0.0,0.0,2.0,5.0,5.0,4.0,3.0,1.0,1.0,1.0,0.0,6.0,6.0,1.5108,1.0,5.0,5.0,1.0,2.0,5.0,2.0,1.0,5.0,6.0,5.0,6.0,5.0,46.267,31.591,0.0,0.0,0.0,170.74645801141077,0.0,0.0,0.0,255.9244346120343,,
S025,39.503400000000006,2024-08-07 17:51:02.951829+00:00,07/08/2024,18:11:24,ios,True,iOS,980.0,1665.0,sof1,Male,22,Bachelor,"Business, Economics",False,,Ireland,Heterosexual,Single and not open to dating,1.8105166666666668,3.0,0.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,4.0,4.0,1.2664833333333334,4.0,3.0,4.0,5.0,3.0,4.0,2.0,4.0,3.0,6.0,4.0,3.0,5.0,51.216,33.338,0.3448275862068965,3.4482758620689653,0.0,175.63139923812255,0.0,0.0,0.0,482.2540361944787,,
S026,45.67211666666667,2024-08-07 20:12:05.974332+00:00,07/08/2024,21:26:16,chrome,True,Android OS,980.0,1913.0,sof1,Female,16,High school,,True,White,Spain,Heterosexual,Single and open to dating,2.841833333333333,0.0,1.0,1.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,6.0,6.0,3.0,0.0,5.0,3.0,6.0,6.0,1.3404500000000001,3.0,6.0,6.0,6.0,2.0,6.0,0.0,6.0,0.0,0.0,6.0,3.0,5.0,24.543,12.501,1.2166666666666666,8.0,0.0,180.02574161707633,0.0,0.0,0.0,194.18953659558593,,
S027,41.38536666666666,2024-08-07 21:57:13.300695+00:00,07/08/2024,23:15:42,ios,True,iOS,980.0,1441.0,sof1,Male,69,Master,"Business, Economics",False,White,United States,Heterosexual,In a relationship and not open to dating,1.5158999999999998,4.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,6.0,6.0,1.40145,1.0,5.0,4.0,5.0,6.0,5.0,2.0,2.0,4.0,3.0,5.0,5.0,6.0,118.855,38.344,0.0,0.0,0.0,267.46304761035356,0.18518518518518517,1.8518518518518516,0.0,393.4957382543833,,
S028,42.340799999999994,2024-08-08 02:12:17.997505+00:00,08/08/2024,02:29:48,ios,True,iOS,980.0,1613.0,sof1,Male,22,Master,"Biology, Chemistry, Physics",True,White,United Kingdom,Heterosexual,Single and open to dating,3.0631166666666667,4.0,5.0,3.0,3.0,5.0,5.0,4.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,6.0,5.0,2.8775,2.0,3.0,4.0,1.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,6.0,38.848,15.432,1.189362945645821,5.084745762711865,0.0,216.77437796800382,0.0,0.0,0.0,818.6705063488633,,
S029,37.53446666666667,2024-08-08 11:33:35.365017+00:00,08/08/2024,12:55:53,instagram,True,iOS,980.0,1663.0,sof1,Female,22,Bachelor,"Biology, Chemistry, Physics",True,White,,Heterosexual,Single and open to dating,2.519833333333333,3.0,6.0,5.0,2.0,4.0,4.0,3.0,1.0,3.0,1.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,4.0,1.4419666666666666,3.0,1.0,2.0,1.0,3.0,1.0,5.0,1.0,6.0,6.0,2.0,5.0,3.0,36.568,15.621,0.1694915254237288,1.694915254237288,0.0,112.69876711738789,0.0,0.0,0.0,363.1907928400301,,
S030,44.92525,2024-08-08 13:26:43.773695+00:00,08/08/2024,14:41:40,chrome,False,Windows 10,1366.0,607.0,sof1,Female,58,High school,,False,White,Spain,Heterosexual,In a relationship and not open to dating,2.2403666666666666,4.0,2.0,2.0,0.0,5.0,5.0,1.0,0.0,1.0,2.0,2.0,5.0,2.0,3.0,1.0,2.0,5.0,6.0,1.7285666666666666,0.0,3.0,3.0,5.0,6.0,5.0,2.0,5.0,4.0,2.0,5.0,6.0,4.0,79.981,34.021,10.607344632768363,35.59322033898305,0.0,58.49519963043421,12.14406779661017,33.33333333333333,0.0,97.3006164941189,,
S031,48.41021666666666,2024-08-08 18:43:50.814433+00:00,08/08/2024,19:55:19,chrome,True,Android OS,980.0,1842.0,sof1,Male,56,Master,"Political Science, Law",False,Hispanic/Latino,Spain,Heterosexual,In a relationship and not open to dating,5.3803,4.0,2.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,2.0,6.0,6.0,2.6522833333333335,1.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,2.0,5.0,5.0,2.0,153.612,67.857,0.43478260869565216,4.3478260869565215,0.0,252.77467113440375,0.0,0.0,0.0,331.04489924501985,,
